iso_code,country,date,ox_economic_support_index_for_display
AFG,Afghanistan,2020-08-22,0.0
AFG,Afghanistan,2020-08-23,0.0
AFG,Afghanistan,2020-08-24,0.0
AFG,Afghanistan,2020-08-25,0.0
AFG,Afghanistan,2020-08-26,0.0
AFG,Afghanistan,2020-08-27,0.0
AFG,Afghanistan,2020-08-28,0.0
AFG,Afghanistan,2020-08-29,0.0
AFG,Afghanistan,2020-08-30,0.0
AFG,Afghanistan,2020-08-31,0.0
AFG,Afghanistan,2020-09-01,0.0
AFG,Afghanistan,2020-09-02,0.0
AFG,Afghanistan,2020-09-03,0.0
AFG,Afghanistan,2020-09-04,0.0
AFG,Afghanistan,2020-09-05,0.0
AFG,Afghanistan,2020-09-06,0.0
AFG,Afghanistan,2020-09-07,0.0
AFG,Afghanistan,2020-09-08,0.0
AFG,Afghanistan,2020-09-09,0.0
AFG,Afghanistan,2020-09-10,0.0
AFG,Afghanistan,2020-09-11,0.0
AFG,Afghanistan,2020-09-12,0.0
AFG,Afghanistan,2020-09-13,0.0
AFG,Afghanistan,2020-09-14,0.0
AFG,Afghanistan,2020-09-15,0.0
AFG,Afghanistan,2020-09-16,0.0
AFG,Afghanistan,2020-09-17,0.0
AFG,Afghanistan,2020-09-18,0.0
AFG,Afghanistan,2020-09-19,0.0
AFG,Afghanistan,2020-09-20,0.0
AFG,Afghanistan,2020-09-21,0.0
AFG,Afghanistan,2020-09-22,0.0
AFG,Afghanistan,2020-09-23,0.0
AFG,Afghanistan,2020-09-24,0.0
AFG,Afghanistan,2020-09-25,0.0
AFG,Afghanistan,2020-09-26,0.0
AFG,Afghanistan,2020-09-27,0.0
AFG,Afghanistan,2020-09-28,0.0
AFG,Afghanistan,2020-09-29,0.0
AFG,Afghanistan,2020-09-30,0.0
AFG,Afghanistan,2020-10-01,0.0
AFG,Afghanistan,2020-10-02,0.0
AFG,Afghanistan,2020-10-03,0.0
AFG,Afghanistan,2020-10-04,0.0
AFG,Afghanistan,2020-10-05,0.0
AFG,Afghanistan,2020-10-06,0.0
AFG,Afghanistan,2020-10-07,0.0
AFG,Afghanistan,2020-10-08,0.0
AFG,Afghanistan,2020-10-09,0.0
AFG,Afghanistan,2020-10-10,0.0
AFG,Afghanistan,2020-10-11,0.0
AFG,Afghanistan,2020-10-12,0.0
AFG,Afghanistan,2020-10-13,0.0
AFG,Afghanistan,2020-10-14,0.0
AFG,Afghanistan,2020-10-15,0.0
AFG,Afghanistan,2020-10-16,0.0
AFG,Afghanistan,2020-10-17,0.0
AFG,Afghanistan,2020-10-18,0.0
AFG,Afghanistan,2020-10-19,0.0
AFG,Afghanistan,2020-10-20,0.0
AFG,Afghanistan,2020-10-21,0.0
AFG,Afghanistan,2020-10-22,0.0
AFG,Afghanistan,2020-10-23,0.0
AFG,Afghanistan,2020-10-24,0.0
AFG,Afghanistan,2020-10-25,0.0
AFG,Afghanistan,2020-10-26,0.0
AFG,Afghanistan,2020-10-27,0.0
AFG,Afghanistan,2020-10-28,0.0
AFG,Afghanistan,2020-10-29,0.0
AFG,Afghanistan,2020-10-30,0.0
AFG,Afghanistan,2020-10-31,0.0
AFG,Afghanistan,2020-11-01,0.0
AFG,Afghanistan,2020-11-02,0.0
AFG,Afghanistan,2020-11-03,0.0
AFG,Afghanistan,2020-11-04,0.0
AFG,Afghanistan,2020-11-05,0.0
AFG,Afghanistan,2020-11-06,0.0
AFG,Afghanistan,2020-11-07,0.0
AFG,Afghanistan,2020-11-08,0.0
AFG,Afghanistan,2020-11-09,0.0
AFG,Afghanistan,2020-11-10,0.0
AFG,Afghanistan,2020-11-11,0.0
AFG,Afghanistan,2020-11-12,0.0
AFG,Afghanistan,2020-11-13,0.0
AFG,Afghanistan,2020-11-14,0.0
AFG,Afghanistan,2020-11-15,0.0
AFG,Afghanistan,2020-11-16,0.0
AFG,Afghanistan,2020-11-17,0.0
AFG,Afghanistan,2020-11-18,0.0
AFG,Afghanistan,2020-11-19,0.0
AFG,Afghanistan,2020-11-20,0.0
AFG,Afghanistan,2020-11-21,0.0
AFG,Afghanistan,2020-11-22,0.0
AFG,Afghanistan,2020-11-23,0.0
AFG,Afghanistan,2020-11-24,0.0
AFG,Afghanistan,2020-11-25,0.0
AFG,Afghanistan,2020-11-26,0.0
AFG,Afghanistan,2020-11-27,0.0
AFG,Afghanistan,2020-11-28,0.0
AFG,Afghanistan,2020-11-29,0.0
AFG,Afghanistan,2020-11-30,0.0
AFG,Afghanistan,2020-12-01,0.0
AFG,Afghanistan,2020-12-02,0.0
AFG,Afghanistan,2020-12-03,0.0
AFG,Afghanistan,2020-12-04,0.0
AFG,Afghanistan,2020-12-05,0.0
AFG,Afghanistan,2020-12-06,0.0
AFG,Afghanistan,2020-12-07,0.0
AFG,Afghanistan,2020-12-08,0.0
AFG,Afghanistan,2020-12-09,0.0
AFG,Afghanistan,2020-12-10,0.0
AFG,Afghanistan,2020-12-11,0.0
AFG,Afghanistan,2020-12-12,0.0
AFG,Afghanistan,2020-12-13,0.0
AFG,Afghanistan,2020-12-14,0.0
AFG,Afghanistan,2020-12-15,0.0
AFG,Afghanistan,2020-12-16,0.0
AFG,Afghanistan,2020-12-17,0.0
AFG,Afghanistan,2020-12-18,0.0
AFG,Afghanistan,2020-12-19,0.0
AFG,Afghanistan,2020-12-20,0.0
AFG,Afghanistan,2020-12-21,0.0
AFG,Afghanistan,2020-12-22,0.0
AFG,Afghanistan,2020-12-23,0.0
AFG,Afghanistan,2020-12-24,0.0
AFG,Afghanistan,2020-12-25,0.0
AFG,Afghanistan,2020-12-26,0.0
AFG,Afghanistan,2020-12-27,0.0
AFG,Afghanistan,2020-12-28,0.0
AFG,Afghanistan,2020-12-29,0.0
AFG,Afghanistan,2020-12-30,0.0
AFG,Afghanistan,2020-12-31,0.0
AFG,Afghanistan,2021-01-01,0.0
AFG,Afghanistan,2021-01-02,0.0
AFG,Afghanistan,2021-01-03,0.0
AFG,Afghanistan,2021-01-04,0.0
AFG,Afghanistan,2021-01-05,0.0
AFG,Afghanistan,2021-01-06,0.0
AFG,Afghanistan,2021-01-07,0.0
AFG,Afghanistan,2021-01-08,0.0
AFG,Afghanistan,2021-01-09,0.0
AFG,Afghanistan,2021-01-10,0.0
AFG,Afghanistan,2021-01-11,0.0
AFG,Afghanistan,2021-01-12,0.0
AFG,Afghanistan,2021-01-13,0.0
AFG,Afghanistan,2021-01-14,0.0
AFG,Afghanistan,2021-01-15,0.0
AFG,Afghanistan,2021-01-16,0.0
AFG,Afghanistan,2021-01-17,0.0
AFG,Afghanistan,2021-01-18,0.0
AFG,Afghanistan,2021-01-19,0.0
AFG,Afghanistan,2021-01-20,0.0
AFG,Afghanistan,2021-01-21,0.0
AFG,Afghanistan,2021-01-22,0.0
AFG,Afghanistan,2021-01-23,0.0
AFG,Afghanistan,2021-01-24,0.0
AFG,Afghanistan,2021-01-25,0.0
AFG,Afghanistan,2021-01-26,0.0
AFG,Afghanistan,2021-01-27,0.0
AFG,Afghanistan,2021-01-28,0.0
AFG,Afghanistan,2021-01-29,0.0
AFG,Afghanistan,2021-01-30,0.0
AFG,Afghanistan,2021-01-31,0.0
AFG,Afghanistan,2021-02-01,0.0
AFG,Afghanistan,2021-02-02,0.0
AFG,Afghanistan,2021-02-03,0.0
AFG,Afghanistan,2021-02-04,0.0
AFG,Afghanistan,2021-02-05,0.0
AFG,Afghanistan,2021-02-06,0.0
AFG,Afghanistan,2021-02-07,0.0
AFG,Afghanistan,2021-02-08,0.0
AFG,Afghanistan,2021-02-09,0.0
AFG,Afghanistan,2021-02-10,0.0
AFG,Afghanistan,2021-02-11,0.0
AFG,Afghanistan,2021-02-12,0.0
AFG,Afghanistan,2021-02-13,0.0
AFG,Afghanistan,2021-02-14,0.0
AFG,Afghanistan,2021-02-15,0.0
AFG,Afghanistan,2021-02-16,0.0
AFG,Afghanistan,2021-02-17,0.0
AFG,Afghanistan,2021-02-18,0.0
AFG,Afghanistan,2021-02-19,0.0
AFG,Afghanistan,2021-02-20,0.0
AFG,Afghanistan,2021-02-21,0.0
AFG,Afghanistan,2021-02-22,0.0
AFG,Afghanistan,2021-02-23,0.0
AFG,Afghanistan,2021-02-24,0.0
AFG,Afghanistan,2021-02-25,0.0
AFG,Afghanistan,2021-02-26,0.0
AFG,Afghanistan,2021-02-27,0.0
AFG,Afghanistan,2021-02-28,0.0
AFG,Afghanistan,2021-03-01,0.0
AFG,Afghanistan,2021-03-13,0.0
AFG,Afghanistan,2021-03-14,0.0
AFG,Afghanistan,2021-03-15,0.0
AFG,Afghanistan,2021-03-16,0.0
AFG,Afghanistan,2021-03-17,0.0
AFG,Afghanistan,2021-03-18,0.0
AFG,Afghanistan,2021-03-19,0.0
AGO,Angola,2020-01-01,0.0
AGO,Angola,2020-01-02,0.0
AGO,Angola,2020-01-03,0.0
AGO,Angola,2020-01-04,0.0
AGO,Angola,2020-01-05,0.0
AGO,Angola,2020-01-06,0.0
AGO,Angola,2020-01-07,0.0
AGO,Angola,2020-01-08,0.0
AGO,Angola,2020-01-09,0.0
AGO,Angola,2020-01-10,0.0
AGO,Angola,2020-01-11,0.0
AGO,Angola,2020-01-12,0.0
AGO,Angola,2020-01-13,0.0
AGO,Angola,2020-01-14,0.0
AGO,Angola,2020-01-15,0.0
AGO,Angola,2020-01-16,0.0
AGO,Angola,2020-01-17,0.0
AGO,Angola,2020-01-18,0.0
AGO,Angola,2020-01-19,0.0
AGO,Angola,2020-01-20,0.0
AGO,Angola,2020-01-21,0.0
AGO,Angola,2020-01-22,0.0
AGO,Angola,2020-01-23,0.0
AGO,Angola,2020-01-24,0.0
AGO,Angola,2020-01-25,0.0
AGO,Angola,2020-01-26,0.0
AGO,Angola,2020-01-27,0.0
AGO,Angola,2020-01-28,0.0
AGO,Angola,2020-01-29,0.0
AGO,Angola,2020-01-30,0.0
AGO,Angola,2020-01-31,0.0
AGO,Angola,2020-02-01,0.0
AGO,Angola,2020-02-02,0.0
AGO,Angola,2020-02-03,0.0
AGO,Angola,2020-02-04,0.0
AGO,Angola,2020-02-05,0.0
AGO,Angola,2020-02-06,0.0
AGO,Angola,2020-02-07,0.0
AGO,Angola,2020-02-08,0.0
AGO,Angola,2020-02-09,0.0
AGO,Angola,2020-02-10,0.0
AGO,Angola,2020-02-11,0.0
AGO,Angola,2020-02-12,0.0
AGO,Angola,2020-02-13,0.0
AGO,Angola,2020-02-14,0.0
AGO,Angola,2020-02-15,0.0
AGO,Angola,2020-02-16,0.0
AGO,Angola,2020-02-17,0.0
AGO,Angola,2020-02-18,0.0
AGO,Angola,2020-02-19,0.0
AGO,Angola,2020-02-20,0.0
AGO,Angola,2020-02-21,0.0
AGO,Angola,2020-02-22,0.0
AGO,Angola,2020-02-23,0.0
AGO,Angola,2020-02-24,0.0
AGO,Angola,2020-02-25,0.0
AGO,Angola,2020-02-26,0.0
AGO,Angola,2020-02-27,0.0
AGO,Angola,2020-02-28,0.0
AGO,Angola,2020-02-29,0.0
AGO,Angola,2020-03-01,0.0
AGO,Angola,2020-03-02,0.0
AGO,Angola,2020-03-03,0.0
AGO,Angola,2020-03-04,0.0
AGO,Angola,2020-03-05,0.0
AGO,Angola,2020-03-06,0.0
AGO,Angola,2020-03-07,0.0
AGO,Angola,2020-03-08,0.0
AGO,Angola,2020-03-09,0.0
AGO,Angola,2020-03-10,0.0
AGO,Angola,2020-03-11,0.0
AGO,Angola,2020-03-12,0.0
AGO,Angola,2020-03-13,0.0
AGO,Angola,2020-03-14,0.0
AGO,Angola,2020-03-15,0.0
AGO,Angola,2020-03-16,0.0
AGO,Angola,2020-03-17,0.0
AGO,Angola,2020-03-18,0.0
AGO,Angola,2020-03-19,0.0
AGO,Angola,2020-03-20,0.0
AGO,Angola,2020-03-21,0.0
AGO,Angola,2020-03-22,0.0
AGO,Angola,2020-03-23,0.0
AGO,Angola,2020-03-24,0.0
AGO,Angola,2020-03-25,0.0
AGO,Angola,2020-03-26,0.0
AGO,Angola,2020-03-27,0.0
AGO,Angola,2020-03-28,0.0
AGO,Angola,2020-03-29,0.0
AGO,Angola,2020-03-30,0.0
AGO,Angola,2020-03-31,0.0
AGO,Angola,2020-04-01,0.0
AGO,Angola,2020-04-02,0.0
AGO,Angola,2020-04-03,0.0
AGO,Angola,2020-04-04,0.0
AGO,Angola,2020-04-05,0.0
AGO,Angola,2020-04-06,0.0
AGO,Angola,2020-04-07,0.0
AGO,Angola,2020-04-08,0.0
AGO,Angola,2020-04-09,50.0
AGO,Angola,2020-04-10,50.0
AGO,Angola,2020-04-11,50.0
AGO,Angola,2020-04-12,50.0
AGO,Angola,2020-04-13,50.0
AGO,Angola,2020-04-14,50.0
AGO,Angola,2020-04-15,50.0
AGO,Angola,2020-04-16,50.0
AGO,Angola,2020-04-17,50.0
AGO,Angola,2020-04-18,50.0
AGO,Angola,2020-04-19,50.0
AGO,Angola,2020-04-20,50.0
AGO,Angola,2020-04-21,50.0
AGO,Angola,2020-04-22,50.0
AGO,Angola,2020-04-23,50.0
AGO,Angola,2020-04-24,75.0
AGO,Angola,2020-04-25,75.0
AGO,Angola,2020-04-26,75.0
AGO,Angola,2020-04-27,75.0
AGO,Angola,2020-04-28,75.0
AGO,Angola,2020-04-29,75.0
AGO,Angola,2020-04-30,75.0
AGO,Angola,2020-05-01,75.0
AGO,Angola,2020-05-02,75.0
AGO,Angola,2020-05-03,75.0
AGO,Angola,2020-05-04,75.0
AGO,Angola,2020-05-05,75.0
AGO,Angola,2020-05-06,75.0
AGO,Angola,2020-05-07,75.0
AGO,Angola,2020-05-08,75.0
AGO,Angola,2020-05-09,75.0
AGO,Angola,2020-05-10,75.0
AGO,Angola,2020-05-11,75.0
AGO,Angola,2020-05-12,75.0
AGO,Angola,2020-05-13,75.0
AGO,Angola,2020-05-14,75.0
AGO,Angola,2020-05-15,75.0
AGO,Angola,2020-05-16,75.0
AGO,Angola,2020-05-17,75.0
AGO,Angola,2020-05-18,75.0
AGO,Angola,2020-05-19,75.0
AGO,Angola,2020-05-20,75.0
AGO,Angola,2020-05-21,75.0
AGO,Angola,2020-05-22,75.0
AGO,Angola,2020-05-23,75.0
AGO,Angola,2020-05-24,75.0
AGO,Angola,2020-05-25,75.0
AGO,Angola,2020-05-26,75.0
AGO,Angola,2020-05-27,75.0
AGO,Angola,2020-05-28,75.0
AGO,Angola,2020-05-29,75.0
AGO,Angola,2020-05-30,75.0
AGO,Angola,2020-05-31,75.0
AGO,Angola,2020-06-01,75.0
AGO,Angola,2020-06-02,75.0
AGO,Angola,2020-06-03,75.0
AGO,Angola,2020-06-04,75.0
AGO,Angola,2020-06-05,25.0
AGO,Angola,2020-06-06,25.0
AGO,Angola,2020-06-07,25.0
AGO,Angola,2020-06-08,25.0
AGO,Angola,2020-06-09,25.0
AGO,Angola,2020-06-10,25.0
AGO,Angola,2020-06-11,25.0
AGO,Angola,2020-06-12,25.0
AGO,Angola,2020-06-13,25.0
AGO,Angola,2020-06-14,25.0
AGO,Angola,2020-06-15,25.0
AGO,Angola,2020-06-16,25.0
AGO,Angola,2020-06-17,25.0
AGO,Angola,2020-06-18,25.0
AGO,Angola,2020-06-19,25.0
AGO,Angola,2020-06-20,25.0
AGO,Angola,2020-06-21,25.0
AGO,Angola,2020-06-22,25.0
AGO,Angola,2020-06-23,25.0
AGO,Angola,2020-06-24,25.0
AGO,Angola,2020-06-25,25.0
AGO,Angola,2020-06-26,25.0
AGO,Angola,2020-06-27,25.0
AGO,Angola,2020-06-28,25.0
AGO,Angola,2020-06-29,25.0
AGO,Angola,2020-06-30,25.0
AGO,Angola,2020-07-01,25.0
AGO,Angola,2020-07-02,25.0
AGO,Angola,2020-07-03,25.0
AGO,Angola,2020-07-04,25.0
AGO,Angola,2020-07-05,25.0
AGO,Angola,2020-07-06,25.0
AGO,Angola,2020-07-07,25.0
AGO,Angola,2020-07-08,25.0
AGO,Angola,2020-07-09,25.0
AGO,Angola,2020-07-10,25.0
AGO,Angola,2020-07-11,25.0
AGO,Angola,2020-07-12,25.0
AGO,Angola,2020-07-13,25.0
AGO,Angola,2020-07-14,25.0
AGO,Angola,2020-07-15,25.0
AGO,Angola,2020-07-16,25.0
AGO,Angola,2020-07-17,25.0
AGO,Angola,2020-07-18,25.0
AGO,Angola,2020-07-19,25.0
AGO,Angola,2020-07-20,25.0
AGO,Angola,2020-07-21,25.0
AGO,Angola,2020-07-22,25.0
AGO,Angola,2020-07-23,25.0
AGO,Angola,2020-07-24,25.0
AGO,Angola,2020-07-25,25.0
AGO,Angola,2020-07-26,25.0
AGO,Angola,2020-07-27,25.0
AGO,Angola,2020-07-28,25.0
AGO,Angola,2020-07-29,25.0
AGO,Angola,2020-07-30,25.0
AGO,Angola,2020-07-31,25.0
AGO,Angola,2020-08-01,25.0
AGO,Angola,2020-08-02,25.0
AGO,Angola,2020-08-03,25.0
AGO,Angola,2020-08-04,25.0
AGO,Angola,2020-08-05,25.0
AGO,Angola,2020-08-06,25.0
AGO,Angola,2020-08-07,25.0
AGO,Angola,2020-08-08,25.0
AGO,Angola,2020-08-09,25.0
AGO,Angola,2020-08-10,25.0
AGO,Angola,2020-08-11,25.0
AGO,Angola,2020-08-12,25.0
AGO,Angola,2020-08-13,25.0
AGO,Angola,2020-08-14,25.0
AGO,Angola,2020-08-15,25.0
AGO,Angola,2020-08-16,25.0
AGO,Angola,2020-08-17,25.0
AGO,Angola,2020-08-18,25.0
AGO,Angola,2020-08-19,25.0
AGO,Angola,2020-08-20,25.0
AGO,Angola,2020-08-21,25.0
AGO,Angola,2020-08-22,25.0
AGO,Angola,2020-08-23,25.0
AGO,Angola,2020-08-24,25.0
AGO,Angola,2020-08-25,25.0
AGO,Angola,2020-08-26,25.0
AGO,Angola,2020-08-27,25.0
AGO,Angola,2020-08-28,25.0
AGO,Angola,2020-08-29,25.0
AGO,Angola,2020-08-30,25.0
AGO,Angola,2020-08-31,25.0
AGO,Angola,2020-09-01,25.0
AGO,Angola,2020-09-02,25.0
AGO,Angola,2020-09-03,25.0
AGO,Angola,2020-09-04,25.0
AGO,Angola,2020-09-05,25.0
AGO,Angola,2020-09-06,25.0
AGO,Angola,2020-09-07,25.0
AGO,Angola,2020-09-08,25.0
AGO,Angola,2020-09-09,25.0
AGO,Angola,2020-09-10,25.0
AGO,Angola,2020-09-11,25.0
AGO,Angola,2020-09-12,25.0
AGO,Angola,2020-09-13,25.0
AGO,Angola,2020-09-14,25.0
AGO,Angola,2020-09-15,25.0
AGO,Angola,2020-09-16,25.0
AGO,Angola,2020-09-17,25.0
AGO,Angola,2020-09-18,25.0
AGO,Angola,2020-09-19,25.0
AGO,Angola,2020-09-20,25.0
AGO,Angola,2020-09-21,25.0
AGO,Angola,2020-09-22,25.0
AGO,Angola,2020-09-23,25.0
AGO,Angola,2020-09-24,25.0
AGO,Angola,2020-09-25,25.0
AGO,Angola,2020-09-26,25.0
AGO,Angola,2020-09-27,25.0
AGO,Angola,2020-09-28,25.0
AGO,Angola,2020-09-29,0.0
AGO,Angola,2020-09-30,0.0
AGO,Angola,2020-10-01,0.0
AGO,Angola,2020-10-02,0.0
AGO,Angola,2020-10-03,0.0
AGO,Angola,2020-10-04,0.0
AGO,Angola,2020-10-05,0.0
AGO,Angola,2020-10-06,0.0
AGO,Angola,2020-10-07,0.0
AGO,Angola,2020-10-08,0.0
AGO,Angola,2020-10-09,0.0
AGO,Angola,2020-10-10,0.0
AGO,Angola,2020-10-11,0.0
AGO,Angola,2020-10-12,0.0
AGO,Angola,2020-10-13,0.0
AGO,Angola,2020-10-14,0.0
AGO,Angola,2020-10-15,0.0
AGO,Angola,2020-10-16,0.0
AGO,Angola,2020-10-17,0.0
AGO,Angola,2020-10-18,0.0
AGO,Angola,2020-10-19,0.0
AGO,Angola,2020-10-20,0.0
AGO,Angola,2020-10-22,0.0
AGO,Angola,2020-10-23,25.0
AGO,Angola,2020-10-24,25.0
AGO,Angola,2020-10-25,25.0
AGO,Angola,2020-10-26,25.0
AGO,Angola,2020-10-27,25.0
AGO,Angola,2020-10-28,25.0
AGO,Angola,2020-10-29,25.0
AGO,Angola,2020-10-30,25.0
AGO,Angola,2020-10-31,25.0
AGO,Angola,2020-11-01,25.0
AGO,Angola,2020-11-02,25.0
AGO,Angola,2020-11-03,25.0
AGO,Angola,2020-11-04,25.0
AGO,Angola,2020-11-05,25.0
AGO,Angola,2020-11-06,25.0
AGO,Angola,2020-11-07,25.0
AGO,Angola,2020-11-08,25.0
AGO,Angola,2020-11-09,25.0
AGO,Angola,2020-11-10,25.0
AGO,Angola,2020-11-11,25.0
AGO,Angola,2020-11-12,25.0
AGO,Angola,2020-11-13,25.0
AGO,Angola,2020-11-14,25.0
AGO,Angola,2020-11-15,25.0
AGO,Angola,2020-11-16,25.0
AGO,Angola,2020-11-17,25.0
AGO,Angola,2020-11-18,25.0
AGO,Angola,2020-11-19,25.0
AGO,Angola,2020-11-20,25.0
AGO,Angola,2020-11-21,25.0
AGO,Angola,2020-11-22,25.0
AGO,Angola,2020-11-23,0.0
AGO,Angola,2020-11-24,0.0
AGO,Angola,2020-11-25,0.0
AGO,Angola,2020-11-26,0.0
AGO,Angola,2020-11-27,0.0
AGO,Angola,2020-11-28,0.0
AGO,Angola,2020-11-29,0.0
AGO,Angola,2020-11-30,0.0
AGO,Angola,2020-12-01,0.0
AGO,Angola,2020-12-02,0.0
AGO,Angola,2020-12-03,0.0
AGO,Angola,2020-12-04,0.0
AGO,Angola,2020-12-05,0.0
AGO,Angola,2020-12-06,0.0
AGO,Angola,2020-12-07,0.0
AGO,Angola,2020-12-08,0.0
AGO,Angola,2020-12-09,0.0
AGO,Angola,2020-12-10,0.0
AGO,Angola,2020-12-11,0.0
AGO,Angola,2020-12-12,0.0
AGO,Angola,2020-12-13,0.0
AGO,Angola,2020-12-14,0.0
AGO,Angola,2020-12-15,0.0
AGO,Angola,2020-12-16,0.0
AGO,Angola,2020-12-17,0.0
AGO,Angola,2020-12-18,0.0
AGO,Angola,2020-12-19,0.0
AGO,Angola,2020-12-20,0.0
AGO,Angola,2020-12-21,0.0
AGO,Angola,2020-12-22,0.0
AGO,Angola,2020-12-23,0.0
AGO,Angola,2020-12-24,0.0
AGO,Angola,2020-12-25,0.0
AGO,Angola,2020-12-26,0.0
AGO,Angola,2020-12-27,0.0
AGO,Angola,2020-12-28,0.0
AGO,Angola,2020-12-29,0.0
AGO,Angola,2020-12-30,0.0
AGO,Angola,2020-12-31,0.0
AGO,Angola,2021-01-01,0.0
AGO,Angola,2021-01-02,0.0
AGO,Angola,2021-01-03,0.0
AGO,Angola,2021-01-04,0.0
AGO,Angola,2021-01-06,0.0
AGO,Angola,2021-01-07,0.0
AGO,Angola,2021-01-08,0.0
AGO,Angola,2021-01-09,0.0
AGO,Angola,2021-01-10,0.0
AGO,Angola,2021-01-11,0.0
AGO,Angola,2021-01-12,0.0
AGO,Angola,2021-01-13,0.0
AGO,Angola,2021-01-14,0.0
AGO,Angola,2021-01-15,0.0
AGO,Angola,2021-01-16,0.0
AGO,Angola,2021-01-17,0.0
AGO,Angola,2021-01-18,0.0
AGO,Angola,2021-01-19,0.0
AGO,Angola,2021-01-20,0.0
AGO,Angola,2021-01-21,0.0
AGO,Angola,2021-01-22,0.0
AGO,Angola,2021-01-23,0.0
AGO,Angola,2021-01-24,0.0
AGO,Angola,2021-01-25,0.0
AGO,Angola,2021-01-26,0.0
AGO,Angola,2021-01-27,0.0
AGO,Angola,2021-01-28,0.0
AGO,Angola,2021-01-29,0.0
AGO,Angola,2021-01-30,0.0
AGO,Angola,2021-01-31,0.0
AGO,Angola,2021-02-01,0.0
AGO,Angola,2021-02-02,0.0
AGO,Angola,2021-02-03,0.0
AGO,Angola,2021-02-04,0.0
AGO,Angola,2021-02-05,0.0
AGO,Angola,2021-02-06,0.0
AGO,Angola,2021-02-07,0.0
AGO,Angola,2021-02-08,0.0
AGO,Angola,2021-02-09,0.0
AGO,Angola,2021-02-10,0.0
AGO,Angola,2021-02-11,0.0
AGO,Angola,2021-02-12,0.0
AGO,Angola,2021-02-13,0.0
AGO,Angola,2021-02-14,0.0
AGO,Angola,2021-02-15,0.0
AGO,Angola,2021-02-16,0.0
AGO,Angola,2021-02-17,0.0
AGO,Angola,2021-02-18,0.0
AGO,Angola,2021-02-19,0.0
AGO,Angola,2021-02-20,0.0
AGO,Angola,2021-02-21,0.0
AGO,Angola,2021-02-22,0.0
AGO,Angola,2021-02-23,0.0
AGO,Angola,2021-02-24,0.0
AGO,Angola,2021-02-25,0.0
AGO,Angola,2021-02-26,0.0
AGO,Angola,2021-02-27,0.0
AGO,Angola,2021-02-28,0.0
AGO,Angola,2021-03-01,0.0
AGO,Angola,2021-03-02,0.0
AGO,Angola,2021-03-03,0.0
AGO,Angola,2021-03-04,0.0
AGO,Angola,2021-03-05,0.0
AGO,Angola,2021-03-06,0.0
AGO,Angola,2021-03-07,0.0
AGO,Angola,2021-03-08,0.0
AGO,Angola,2021-03-09,0.0
AGO,Angola,2021-03-10,0.0
AGO,Angola,2021-03-11,0.0
AGO,Angola,2021-03-12,0.0
AGO,Angola,2021-03-13,0.0
AGO,Angola,2021-03-14,0.0
AGO,Angola,2021-03-15,0.0
AGO,Angola,2021-03-16,0.0
AGO,Angola,2021-03-17,0.0
AGO,Angola,2021-03-18,0.0
AGO,Angola,2021-03-19,0.0
ALB,Albania,2020-01-01,0.0
ALB,Albania,2020-01-02,0.0
ALB,Albania,2020-01-03,0.0
ALB,Albania,2020-01-04,0.0
ALB,Albania,2020-01-05,0.0
ALB,Albania,2020-01-06,0.0
ALB,Albania,2020-01-07,0.0
ALB,Albania,2020-01-08,0.0
ALB,Albania,2020-01-09,0.0
ALB,Albania,2020-01-10,0.0
ALB,Albania,2020-01-11,0.0
ALB,Albania,2020-01-12,0.0
ALB,Albania,2020-01-13,0.0
ALB,Albania,2020-01-14,0.0
ALB,Albania,2020-01-15,0.0
ALB,Albania,2020-01-16,0.0
ALB,Albania,2020-01-17,0.0
ALB,Albania,2020-01-18,0.0
ALB,Albania,2020-01-19,0.0
ALB,Albania,2020-01-20,0.0
ALB,Albania,2020-01-21,0.0
ALB,Albania,2020-01-22,0.0
ALB,Albania,2020-01-23,0.0
ALB,Albania,2020-01-24,0.0
ALB,Albania,2020-01-25,0.0
ALB,Albania,2020-01-26,0.0
ALB,Albania,2020-01-27,0.0
ALB,Albania,2020-01-28,0.0
ALB,Albania,2020-01-29,0.0
ALB,Albania,2020-01-30,0.0
ALB,Albania,2020-01-31,0.0
ALB,Albania,2020-02-01,0.0
ALB,Albania,2020-02-02,0.0
ALB,Albania,2020-02-03,0.0
ALB,Albania,2020-02-04,0.0
ALB,Albania,2020-02-05,0.0
ALB,Albania,2020-02-06,0.0
ALB,Albania,2020-02-07,0.0
ALB,Albania,2020-02-08,0.0
ALB,Albania,2020-02-09,0.0
ALB,Albania,2020-02-10,0.0
ALB,Albania,2020-02-11,0.0
ALB,Albania,2020-02-12,0.0
ALB,Albania,2020-02-13,0.0
ALB,Albania,2020-02-14,0.0
ALB,Albania,2020-02-15,0.0
ALB,Albania,2020-02-16,0.0
ALB,Albania,2020-02-17,0.0
ALB,Albania,2020-02-18,0.0
ALB,Albania,2020-02-19,0.0
ALB,Albania,2020-02-20,0.0
ALB,Albania,2020-02-21,0.0
ALB,Albania,2020-02-22,0.0
ALB,Albania,2020-02-23,0.0
ALB,Albania,2020-02-24,0.0
ALB,Albania,2020-02-25,0.0
ALB,Albania,2020-02-26,0.0
ALB,Albania,2020-02-27,0.0
ALB,Albania,2020-02-28,0.0
ALB,Albania,2020-02-29,0.0
ALB,Albania,2020-03-01,0.0
ALB,Albania,2020-03-02,0.0
ALB,Albania,2020-03-03,0.0
